title,authors,published_date,categories,description,rating,user_id
Groucho  Harpo  Chico  and Sometimes Zeppo: A History of the Marx Brothers and a Satire on the Rest of the World,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.07,340
Topsail Island: Mayberry by the Sea,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.94,479
Take on Me (Secret Lives of Daytime Divas  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.69,566
All Over You (Secret Lives of Daytime Divas  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.73,365
The 33 Strategies of War,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.3,563
Jimmy Stewart: A Biography,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.85,677
Jimmy Stewart: Bomber Pilot,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.93,331
Jimmy Stewart: The Truth Behind the Legend,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.97,515
Dirt (Stone Barrington  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.89,355
La Ley del Exito,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.44,484
Incident at Exeter,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.56,18
The Body Remembers: The Psychophysiology of Trauma and Trauma Treatment,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.27,591
Remember (Redemption  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.43,674
A Summer to Remember (Bedwyn Prequels  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.08,23
Because I Remember Terror  Father  I Remember You,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.11,253
The Last Story (Remember Me  #3),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.65,302
A Place Where the Sea Remembers,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.62,234
She Who Remembers (Kwani  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.03,421
What the Body Remembers,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.89,120
Long Gone Lonesome Blues (The Texas Brands  #4),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.25,186
Remember When (Foster Saga  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.95,210
A Kiss to Remember (Once Upon a Time  #3),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.89,635
Star Wars: The Complete Visual Dictionary,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.33,376
Star Wars: The Ultimate Visual Guide,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.33,558
Star Wars Complete Locations,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.31,623
Lego Star Wars: Prima Official Game Guide,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.62,62
Star Wars: The New Essential Guide to Alien Species,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.18,329
Star Wars:  The New Essential Chronology,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.3,274
The Swarm War (Star Wars: Dark Nest  #3),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.49,451
Star Wars: Empire  Volume 7: The Wrong Side of the War,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.79,409
Allegiance (Star Wars),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.99,131
Creating the Worlds of Star Wars: 365 Days,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.13,195
Star Wars: Clone Wars  Volume 1: The Defense of Kamino and Other Tales,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.85,399
The Making of Star Wars (Star Wars:  The Making of  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.53,275
Star Wars:  The New Essential Guide to Weapons & Technology,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.08,22
The Star Wars Cookbook II: Darth Malt and More Galactic Recipes,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.86,596
You Can Draw: Star Wars,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.05,482
Star Wars: Empire  Volume 6: In the Shadows of Their Fathers,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.68,512
Star Wars:  The New Essential Guide to Vehicles & Vessels,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.12,484
Star Wars: Knights of the Old Republic  Vol. 1: Commencement (Star Wars: Knights of the Old Republic  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.07,268
The Star Wars Poster Book,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.5,700
Star Wars: Clone Wars  Volume 9: Endgame,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.11,125
Wookiee Cookies: A Star Wars Cookbook,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.93,399
Star Wars:  The New Essential Guide to Characters,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.98,94
The Star Wars Trilogy,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.25,647
Star Wars Tales  Vol. 1,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.89,484
Complete Star Wars Trilogy Scrapbook Re-issue,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.14,207
Star Wars: Clone Wars  Volume 6: On the Fields of Battle,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.04,333
Star Wars: Clone Wars  Volume 8: The Last Siege  the Final Truth,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.1,282
Star by Star (Star Wars: The New Jedi Order  #9),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.95,68
Star Wars: Episode III - Revenge of the Sith: The Visual Dictionary,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.16,79
The Wildlife of Star Wars,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.42,406
The Dharma of Star Wars,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.03,375
Star Wars: Rebellion  Vol. 1: My Brother  My Enemy,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.94,200
Star Wars: Empire  Volume 1: Betrayal,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.82,56
Revenge of the Sith (Star Wars: Novelizations  #3),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.14,523
Star Wars:  Revenge of the Sith Incredible Cross-Sections,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.21,563
Star Wars: Clone Wars Adventures  Volume 6,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.78,166
Star Wars: Empire  Volume 5: Allies and Adversaries,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.51,648
Yoda: Dark Rendezvous,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.88,401
Not a Genuine Black Man: Or  How I Claimed My Piece of Ground in the Lily-White Suburbs,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.04,240
Black Man of the Nile and His Family,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.53,224
Black Elk Speaks: Being the Life Story of a Holy Man of the Oglala Sioux,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.13,335
Ring of Fire (Ring of Fire Anthology  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.9,136
1635: The Cannon Law (Assiti Shards  #8),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.76,50
Five Rings of Fire (Able Team  #11),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.64,56
Cash,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.07,392
Johnny Cash,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.79,210
Controversy Creates Cash,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.62,505
Side Effects,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.87,626
Myths of Light: Eastern Metaphors of the Eternal (Collected Work),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.43,262
The Inner Reaches of Outer Space: Metaphor as Myth and as Religion (Collected Worksl),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.22,432
The Power of Myth,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.29,473
The Beatles: The Biography,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.15,493
Here  There and Everywhere: My Life Recording the Music of the Beatles,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.25,64
The Beatles: 365 Days,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.18,666
A Hard Day's Write: The Stories Behind Every Beatles Song,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.18,631
Shout! The Beatles in Their Generation,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.03,60
The Beatles Illustrated Lyrics,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.26,503
The Beatles' Story on Capitol Records  Part Two: The Albums,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.72,14
The Rough Guide to The Beatles,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.91,514
The Beatles Complete - Updated Edition,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.47,218
The Love You Make: An Insider's Story of the Beatles,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.08,210
Magic Circles: The Beatles in Dream and History,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.88,640
A Day in the Life: The Music and Artistry of the Beatles,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.16,568
Complete Beatles Chronicle  The,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.39,540
The Beatles Diary  Vol 1: From Liverpool to London (Falk Symposium),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.56,610
Two of Us: The Story of a Father  a Son  and the Beatles,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.53,148
The Beatles,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.1,331
Complete Idiot's Guide to The Beatles,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.73,370
Beatles: Every Little Thing,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.83,252
Margot Fonteyn,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.03,215
A General Theory of Love,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.11,508
Mad Cowboy: Plain Truth from the Cattle Rancher Who Won't Eat Meat,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.13,21
The Life You Were Born to Live,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.11,335
Lover Eternal (Black Dagger Brotherhood  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.35,625
The Silmarillion  Volume 3,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.19,273
Swanns Way (In Search of Lost Time #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.14,180
